"id","loyalty_status","purchase_frequency","purchase_amount","product_category"
10631,"Regular","rare",15212,"Electronics"
10632,"Regular","occasional",10040,"Food"
10633,"Silver","occasional",5286,"Health"
10634,"Regular","rare",2464,"Home"
10635,"Regular","occasional",2611,"Food"
10636,"Regular","occasional",1933,"Home"
10637,"Silver","frequent",14069,"Electronics"
10638,"Regular","occasional",6909,"Electronics"
10639,"Regular","rare",14473,"Clothing"
10640,"Regular","rare",11981,"Health"
10641,"Regular","frequent",9666,"Clothing"
10642,"Regular","rare",15361,"Clothing"
10643,"Regular","occasional",16310,"Food"
10644,"Silver","occasional",9612,"Books"
10645,"Silver","frequent",4827,"Clothing"
10646,"Silver","rare",12990,"Electronics"
10647,"Silver","frequent",8608,"Food"
10648,"Regular","rare",9307,"Health"
10649,"Regular","frequent",9630,"Clothing"
10650,"Regular","rare",2369,"Beauty"
10651,"Regular","rare",12474,"Books"
10652,"Silver","occasional",8316,"Home"
10653,"Silver","rare",2659,"Clothing"
10654,"Regular","occasional",5592,"Health"
10655,"Gold","rare",5227,"Electronics"
10656,"Regular","frequent",10752,"Electronics"
10657,"Regular","rare",14456,"Books"
10658,"Regular","occasional",8827,"Clothing"
10659,"Silver","rare",4498,"Clothing"
10660,"Silver","frequent",8090,"Electronics"
10661,"Regular","occasional",10811,"Electronics"
10662,"Regular","rare",6022,"Clothing"
10663,"Regular","occasional",12722,"Books"
10664,"Regular","rare",2253,"Electronics"
10665,"Regular","rare",5432,"Clothing"
10666,"Silver","rare",9454,"Home"
10667,"Regular","occasional",11711,"Home"
10668,"Gold","rare",3472,"Electronics"
10669,"Regular","rare",15297,"Electronics"
10670,"Silver","rare",1721,"Clothing"
10671,"Silver","occasional",4802,"Clothing"
10672,"Regular","rare",18874,"Electronics"
10673,"Regular","rare",11534,"Health"
10674,"Regular","rare",4661,"Health"
10675,"Regular","frequent",12254,"Clothing"
10676,"Silver","rare",16382,"Health"
10677,"Silver","rare",18863,"Books"
10678,"Regular","occasional",3801,"Electronics"
10679,"Silver","occasional",15101,"Food"
10680,"Regular","frequent",16464,"Health"
10681,"Silver","rare",3925,"Electronics"
10682,"Regular","rare",4043,"Beauty"
10683,"Regular","rare",5317,"Electronics"
10684,"Regular","occasional",13917,"Books"
10685,"Regular","frequent",10968,"Clothing"
10686,"Regular","occasional",17129,"Clothing"
10687,"Gold","rare",13889,"Clothing"
10688,"Regular","rare",4364,"Food"
10689,"Regular","occasional",5101,"Clothing"
10690,"Regular","rare",6254,"Home"
10691,"Regular","rare",13613,"Health"
10692,"Regular","rare",6726,"Home"
10693,"Regular","frequent",2097,"Health"
10694,"Silver","rare",10411,"Health"
10695,"Regular","rare",8845,"Health"
10696,"Regular","occasional",17688,"Books"
10697,"Silver","frequent",1976,"Home"
10698,"Regular","rare",8298,"Electronics"
10699,"Regular","occasional",13139,"Electronics"
10700,"Silver","rare",10004,"Electronics"
10701,"Regular","occasional",7785,"Electronics"
10702,"Silver","rare",16060,"Beauty"
10703,"Regular","rare",17608,"Electronics"
10704,"Gold","occasional",5479,"Health"
10705,"Regular","rare",8696,"Home"
10706,"Regular","occasional",7184,"Electronics"
10707,"Regular","rare",3937,"Food"
10708,"Regular","frequent",10541,"Food"
10709,"Silver","rare",10258,"Home"
10710,"Regular","rare",12696,"Electronics"
10711,"Regular","rare",7628,"Health"
10712,"Regular","occasional",8561,"Books"
10713,"Regular","rare",6177,"Food"
10714,"Silver","frequent",8903,"Books"
10715,"Silver","occasional",18900,"Electronics"
10716,"Regular","rare",10237,"Food"
10717,"Silver","rare",9814,"Electronics"
10718,"Regular","frequent",17096,"Home"
10719,"Gold","occasional",6307,"Home"
10720,"Regular","rare",11468,"Clothing"
10721,"Regular","frequent",5664,"Electronics"
10722,"Regular","rare",7120,"Food"
10723,"Regular","occasional",15463,"Beauty"
10724,"Silver","rare",2760,"Electronics"
10725,"Silver","frequent",11436,"Electronics"
10726,"Silver","rare",11477,"Electronics"
10727,"Silver","rare",14759,"Electronics"
10728,"Silver","rare",9351,"Clothing"
10729,"Regular","frequent",9577,"Books"
10730,"Regular","occasional",8078,"Health"
10731,"Regular","occasional",7006,"Electronics"
10732,"Silver","frequent",18515,"Books"
10733,"Gold","occasional",12422,"Electronics"
10734,"Regular","rare",4702,"Electronics"
10735,"Silver","rare",11384,"Clothing"
10736,"Regular","rare",7980,"Food"
10737,"Regular","occasional",16947,"Electronics"
10738,"Regular","rare",8881,"Food"
10739,"Silver","rare",11901,"Clothing"
10740,"Regular","rare",20261,"Health"
10741,"Silver","frequent",2024,"Beauty"
10742,"Regular","rare",10762,"Food"
10743,"Gold","occasional",6810,"Clothing"
10744,"Regular","frequent",9028,"Health"
10745,"Regular","rare",2233,"Food"
10746,"Regular","rare",4519,"Electronics"
10747,"Silver","frequent",13589,"Home"
10748,"Silver","rare",9365,"Clothing"
10749,"Silver","frequent",6229,"Books"
10750,"Regular","frequent",2897,"Books"
10751,"Regular","occasional",3823,"Books"
10752,"Regular","rare",4465,"Clothing"
10753,"Regular","rare",13732,"Electronics"
10754,"Silver","rare",19837,"Food"
10755,"Regular","rare",4382,"Clothing"
10756,"Silver","rare",11595,"Books"
10757,"Regular","rare",5183,"Electronics"
10758,"Regular","rare",4815,"Health"
10759,"Regular","occasional",7566,"Clothing"
10760,"Regular","occasional",3255,"Food"
10761,"Silver","occasional",14954,"Electronics"
10762,"Regular","rare",10759,"Food"
10763,"Regular","occasional",5187,"Clothing"
10764,"Regular","frequent",5796,"Books"
10765,"Silver","occasional",2257,"Books"
10766,"Silver","rare",10838,"Electronics"
10767,"Silver","occasional",4527,"Books"
10768,"Gold","rare",7711,"Clothing"
10769,"Silver","frequent",10636,"Home"
10770,"Silver","rare",12935,"Books"
10771,"Regular","frequent",2419,"Food"
10772,"Regular","rare",10430,"Clothing"
10773,"Regular","rare",5922,"Health"
10774,"Regular","occasional",6405,"Electronics"
10775,"Regular","rare",6626,"Electronics"
10776,"Regular","rare",3410,"Health"
10777,"Regular","occasional",7984,"Electronics"
10778,"Silver","rare",12157,"Books"
10779,"Regular","rare",1707,"Electronics"
10780,"Silver","rare",3659,"Clothing"
10781,"Regular","rare",1855,"Beauty"
10782,"Regular","rare",11923,"Home"
10783,"Regular","rare",4683,"Electronics"
10784,"Regular","rare",2134,"Electronics"
10785,"Silver","frequent",13811,"Clothing"
10786,"Regular","frequent",14308,"Books"
10787,"Regular","rare",6546,"Books"
10788,"Silver","rare",7412,"Clothing"
10789,"Gold","rare",6913,"Electronics"
10790,"Regular","occasional",14987,"Health"
10791,"Silver","rare",2450,"Electronics"
10792,"Gold","frequent",4434,"Food"
10793,"Regular","frequent",4206,"Health"
10794,"Silver","occasional",14988,"Health"
10795,"Regular","frequent",11982,"Health"
10796,"Regular","frequent",10888,"Food"
10797,"Silver","occasional",8692,"Food"
10798,"Regular","occasional",19434,"Health"
10799,"Regular","occasional",9243,"Electronics"
10800,"Regular","rare",12646,"Home"
10801,"Regular","occasional",4208,"Electronics"
10802,"Regular","occasional",15290,"Food"
10803,"Silver","rare",13812,"Health"
10804,"Regular","rare",11055,"Home"
10805,"Regular","occasional",12330,"Clothing"
10806,"Silver","rare",9249,"Books"
10807,"Silver","occasional",13327,"Books"
10808,"Gold","frequent",17862,"Beauty"
10809,"Silver","frequent",6445,"Food"
10810,"Silver","rare",3925,"Electronics"
10811,"Regular","occasional",12858,"Clothing"
10812,"Regular","occasional",15216,"Clothing"
10813,"Regular","frequent",12916,"Electronics"
10814,"Silver","frequent",4515,"Clothing"
10815,"Regular","occasional",7183,"Food"
10816,"Regular","frequent",5449,"Food"
10817,"Silver","occasional",7654,"Clothing"
10818,"Regular","occasional",9457,"Food"
10819,"Regular","rare",6805,"Electronics"
10820,"Regular","occasional",16080,"Beauty"
10821,"Silver","rare",4996,"Beauty"
10822,"Silver","frequent",14573,"Clothing"
10823,"Regular","rare",10739,"Food"
10824,"Regular","rare",15487,"Electronics"
10825,"Regular","rare",8261,"Electronics"
10826,"Silver","rare",20058,"Health"
10827,"Gold","rare",8750,"Electronics"
10828,"Regular","rare",8206,"Food"
10829,"Silver","rare",11991,"Health"
10830,"Silver","rare",9411,"Beauty"
10831,"Gold","occasional",7155,"Books"
10832,"Gold","rare",4592,"Beauty"
10833,"Silver","frequent",7787,"Clothing"
10834,"Regular","rare",7546,"Home"
10835,"Regular","frequent",3179,"Home"
10836,"Regular","rare",9329,"Electronics"
10837,"Regular","occasional",4541,"Electronics"
10838,"Regular","rare",13411,"Health"
10839,"Silver","rare",3066,"Home"
10840,"Silver","frequent",4360,"Clothing"
10841,"Regular","rare",12886,"Beauty"
10842,"Silver","rare",9352,"Food"
10843,"Silver","rare",5488,"Clothing"
10844,"Regular","frequent",7557,"Electronics"
10845,"Silver","occasional",11447,"Books"
10846,"Regular","rare",12453,"Electronics"
10847,"Regular","occasional",8211,"Beauty"
10848,"Silver","occasional",5232,"Electronics"
10849,"Silver","occasional",13462,"Health"
10850,"Regular","rare",16657,"Electronics"
10851,"Regular","frequent",6887,"Clothing"
10852,"Silver","rare",7693,"Books"
10853,"Regular","rare",2839,"Beauty"
10854,"Regular","rare",13477,"Health"
10855,"Silver","rare",2967,"Books"
10856,"Regular","rare",3573,"Food"
10857,"Regular","occasional",7749,"Food"
10858,"Silver","rare",14220,"Books"
10859,"Silver","rare",14953,"Food"
10860,"Regular","occasional",5848,"Health"
10861,"Silver","rare",13784,"Health"
10862,"Gold","rare",5355,"Clothing"
10863,"Regular","rare",6812,"Clothing"
10864,"Regular","rare",11356,"Books"
10865,"Regular","rare",6103,"Food"
10866,"Regular","occasional",7514,"Electronics"
10867,"Regular","frequent",9279,"Books"
10868,"Gold","occasional",17294,"Clothing"
10869,"Silver","frequent",13038,"Beauty"
10870,"Silver","rare",11231,"Electronics"
10871,"Silver","rare",9815,"Electronics"
10872,"Silver","rare",14755,"Clothing"
10873,"Regular","rare",18242,"Electronics"
10874,"Regular","frequent",9219,"Food"
10875,"Regular","rare",13887,"Books"
10876,"Regular","frequent",3064,"Health"
10877,"Regular","rare",10549,"Clothing"
10878,"Regular","rare",15975,"Electronics"
10879,"Regular","rare",7861,"Books"
10880,"Regular","rare",17035,"Books"
10881,"Silver","frequent",9977,"Electronics"
10882,"Regular","rare",8704,"Clothing"
10883,"Regular","rare",10516,"Clothing"
10884,"Regular","rare",5817,"Food"
10885,"Gold","rare",6305,"Clothing"
10886,"Regular","occasional",4997,"Home"
10887,"Regular","rare",12159,"Clothing"
10888,"Regular","rare",12559,"Health"
10889,"Silver","frequent",3279,"Electronics"
10890,"Regular","rare",4052,"Clothing"
10891,"Gold","occasional",5119,"Electronics"
10892,"Silver","frequent",1896,"Home"
10893,"Regular","rare",12087,"Home"
10894,"Regular","occasional",5886,"Home"
10895,"Regular","occasional",8363,"Electronics"
10896,"Regular","occasional",11334,"Food"
10897,"Gold","rare",5818,"Electronics"
10898,"Silver","rare",2904,"Electronics"
10899,"Regular","occasional",10634,"Food"
10900,"Regular","occasional",2044,"Clothing"
10901,"Regular","rare",9553,"Clothing"
10902,"Regular","rare",9861,"Electronics"
10903,"Regular","rare",4611,"Books"
10904,"Regular","occasional",5923,"Electronics"
10905,"Regular","occasional",4259,"Food"
10906,"Gold","rare",16943,"Books"
10907,"Gold","rare",2970,"Electronics"
10908,"Regular","frequent",6923,"Electronics"
10909,"Gold","rare",16279,"Health"
10910,"Regular","occasional",5173,"Electronics"
10911,"Regular","occasional",11781,"Electronics"
10912,"Gold","occasional",2860,"Electronics"
10913,"Silver","occasional",11571,"Electronics"
10914,"Regular","rare",16843,"Electronics"
10915,"Regular","rare",4328,"Clothing"
10916,"Regular","frequent",4641,"Clothing"
10917,"Regular","frequent",3176,"Clothing"
10918,"Silver","rare",9378,"Electronics"
10919,"Silver","rare",17467,"Electronics"
10920,"Regular","occasional",10235,"Electronics"
10921,"Silver","rare",13421,"Food"
10922,"Regular","occasional",7034,"Home"
10923,"Regular","occasional",16732,"Food"
10924,"Silver","rare",12320,"Beauty"
10925,"Silver","rare",8459,"Health"
10926,"Regular","occasional",6605,"Books"
10927,"Regular","rare",7355,"Food"
10928,"Gold","occasional",9744,"Electronics"
10929,"Silver","occasional",9969,"Food"
10930,"Silver","occasional",11437,"Food"
10931,"Silver","rare",6495,"Food"
10932,"Regular","occasional",6261,"Electronics"
10933,"Regular","rare",13451,"Food"
10934,"Regular","rare",2011,"Electronics"
10935,"Gold","frequent",12726,"Electronics"
10936,"Regular","occasional",18341,"Food"
10937,"Gold","rare",17171,"Electronics"
10938,"Silver","frequent",4385,"Clothing"
10939,"Regular","occasional",3172,"Electronics"
10940,"Regular","rare",3553,"Electronics"
10941,"Regular","rare",6294,"Electronics"
10942,"Silver","rare",2940,"Health"
10943,"Regular","rare",11193,"Food"
10944,"Silver","rare",11881,"Food"
10945,"Silver","rare",8764,"Health"
10946,"Regular","rare",4392,"Clothing"
10947,"Silver","rare",13454,"Books"
10948,"Regular","frequent",6913,"Health"
10949,"Silver","rare",9470,"Books"
10950,"Regular","frequent",3333,"Books"
10951,"Regular","occasional",5952,"Books"
10952,"Silver","rare",6802,"Food"
10953,"Gold","rare",14876,"Clothing"
10954,"Regular","rare",9171,"Clothing"
10955,"Silver","frequent",6137,"Beauty"
10956,"Gold","frequent",8591,"Clothing"
10957,"Silver","occasional",7944,"Electronics"
10958,"Regular","rare",11277,"Electronics"
10959,"Regular","frequent",6669,"Books"
10960,"Gold","rare",13461,"Electronics"
10961,"Regular","rare",4425,"Electronics"
10962,"Regular","frequent",3223,"Beauty"
10963,"Regular","rare",5190,"Books"
10964,"Silver","rare",16003,"Food"
10965,"Regular","rare",10973,"Books"
10966,"Gold","occasional",11471,"Electronics"
10967,"Gold","occasional",5587,"Beauty"
10968,"Silver","rare",12551,"Books"
10969,"Silver","rare",15296,"Books"
10970,"Gold","rare",12802,"Books"
10971,"Silver","occasional",16973,"Electronics"
10972,"Regular","frequent",11993,"Electronics"
10973,"Gold","occasional",18417,"Clothing"
10974,"Regular","occasional",12964,"Clothing"
10975,"Regular","rare",14042,"Health"
10976,"Silver","rare",4647,"Food"
10977,"Silver","rare",9809,"Books"
10978,"Silver","frequent",4399,"Clothing"
10979,"Regular","rare",4398,"Home"
10980,"Regular","occasional",3683,"Food"
10981,"Regular","rare",14573,"Beauty"
10982,"Gold","rare",12840,"Food"
10983,"Regular","rare",11811,"Health"
10984,"Regular","rare",12692,"Clothing"
10985,"Regular","frequent",11782,"Food"
10986,"Regular","frequent",4921,"Food"
10987,"Regular","occasional",5453,"Electronics"
10988,"Regular","rare",12455,"Food"
10989,"Regular","rare",2522,"Electronics"
10990,"Regular","occasional",2850,"Books"
10991,"Regular","rare",10785,"Health"
10992,"Gold","frequent",13253,"Clothing"
10993,"Regular","occasional",8221,"Clothing"
10994,"Regular","rare",2423,"Health"
10995,"Regular","rare",11099,"Food"
10996,"Regular","rare",5216,"Clothing"
10997,"Silver","frequent",3561,"Food"
10998,"Regular","occasional",4515,"Books"
10999,"Regular","rare",3009,"Electronics"
11000,"Regular","rare",6721,"Electronics"
11001,"Regular","rare",12331,"Beauty"
11002,"Regular","occasional",12455,"Beauty"
11003,"Regular","frequent",7397,"Beauty"
11004,"Silver","occasional",16467,"Books"
11005,"Regular","rare",3823,"Food"
11006,"Regular","rare",3776,"Clothing"
11007,"Regular","occasional",17252,"Health"
11008,"Regular","rare",13659,"Home"
11009,"Regular","rare",17058,"Clothing"
11010,"Gold","rare",16504,"Clothing"
11011,"Gold","rare",14582,"Electronics"
11012,"Silver","rare",4653,"Home"
11013,"Gold","rare",3451,"Clothing"
11014,"Regular","occasional",3032,"Clothing"
11015,"Regular","rare",8732,"Electronics"
11016,"Regular","occasional",18174,"Food"
11017,"Silver","rare",11389,"Clothing"
11018,"Regular","occasional",2747,"Beauty"
11019,"Regular","rare",17455,"Food"
11020,"Gold","rare",11319,"Beauty"
11021,"Silver","rare",15955,"Clothing"
11022,"Regular","rare",11005,"Electronics"
11023,"Silver","rare",19374,"Health"
11024,"Gold","occasional",7086,"Electronics"
11025,"Regular","rare",4279,"Food"
11026,"Regular","occasional",17122,"Electronics"
11027,"Silver","occasional",12100,"Food"
11028,"Silver","rare",9654,"Books"
11029,"Regular","rare",14099,"Food"
11030,"Silver","rare",10097,"Food"
11031,"Silver","frequent",17398,"Health"
11032,"Silver","frequent",2237,"Home"
11033,"Silver","rare",20973,"Home"
11034,"Regular","rare",9862,"Electronics"
11035,"Silver","rare",2998,"Food"
11036,"Regular","occasional",2533,"Electronics"
11037,"Regular","rare",2551,"Home"
11038,"Silver","rare",16419,"Clothing"
11039,"Regular","frequent",15431,"Electronics"
11040,"Regular","rare",6235,"Electronics"
11041,"Regular","rare",9455,"Books"
11042,"Regular","rare",12401,"Home"
11043,"Silver","frequent",3500,"Electronics"
11044,"Regular","rare",6258,"Clothing"
11045,"Regular","occasional",5368,"Electronics"
11046,"Gold","rare",3427,"Health"
11047,"Regular","rare",7742,"Books"
11048,"Silver","occasional",2386,"Food"
11049,"Regular","rare",2129,"Books"
11050,"Gold","occasional",17125,"Clothing"
11051,"Regular","rare",4409,"Electronics"
11052,"Regular","occasional",17161,"Food"
11053,"Regular","frequent",10867,"Food"
11054,"Regular","rare",13963,"Health"
11055,"Regular","frequent",15360,"Food"
11056,"Silver","rare",4815,"Electronics"
11057,"Gold","rare",18705,"Health"
11058,"Regular","rare",14945,"Electronics"
11059,"Regular","rare",13975,"Electronics"
11060,"Regular","frequent",1701,"Electronics"
11061,"Regular","frequent",11746,"Clothing"
11062,"Silver","rare",7197,"Electronics"
11063,"Regular","rare",11097,"Clothing"
11064,"Regular","frequent",5359,"Electronics"
11065,"Regular","frequent",4148,"Electronics"
11066,"Silver","frequent",4171,"Clothing"
11067,"Regular","rare",5203,"Clothing"
11068,"Regular","rare",7661,"Electronics"
11069,"Regular","occasional",7792,"Books"
11070,"Regular","rare",3473,"Electronics"
11071,"Regular","rare",13252,"Electronics"
11072,"Silver","rare",7643,"Health"
11073,"Gold","rare",6202,"Food"
11074,"Regular","rare",4526,"Clothing"
11075,"Silver","rare",6313,"Clothing"
11076,"Silver","rare",7193,"Health"
11077,"Regular","rare",6811,"Home"
11078,"Regular","rare",2537,"Electronics"
11079,"Regular","rare",5712,"Electronics"
11080,"Regular","frequent",14945,"Books"
11081,"Regular","rare",2062,"Books"
11082,"Silver","rare",15410,"Electronics"
11083,"Silver","occasional",12941,"Home"
11084,"Silver","frequent",9366,"Clothing"
11085,"Regular","occasional",2006,"Electronics"
11086,"Regular","occasional",7574,"Electronics"
11087,"Silver","rare",2999,"Food"
11088,"Silver","frequent",11287,"Electronics"
11089,"Regular","frequent",9156,"Food"
11090,"Regular","rare",14601,"Clothing"
11091,"Regular","rare",14891,"Clothing"
11092,"Silver","occasional",16654,"Electronics"
11093,"Silver","rare",12549,"Electronics"
11094,"Regular","rare",3178,"Clothing"
11095,"Regular","rare",9250,"Clothing"
11096,"Regular","frequent",8744,"Home"
11097,"Regular","rare",3149,"Beauty"
11098,"Regular","occasional",4433,"Electronics"
11099,"Regular","rare",13482,"Electronics"
11100,"Regular","rare",1916,"Electronics"
11101,"Regular","frequent",17986,"Clothing"
11102,"Regular","occasional",2949,"Electronics"
11103,"Regular","rare",6799,"Beauty"
11104,"Regular","rare",5708,"Electronics"
11105,"Regular","frequent",11828,"Health"
11106,"Silver","occasional",8968,"Beauty"
11107,"Gold","rare",12518,"Home"
11108,"Regular","occasional",14992,"Electronics"
11109,"Regular","rare",4165,"Food"
11110,"Silver","frequent",1921,"Clothing"
11111,"Regular","rare",2856,"Books"
11112,"Silver","occasional",3856,"Electronics"
11113,"Regular","occasional",6190,"Clothing"
11114,"Regular","frequent",12894,"Home"
11115,"Regular","occasional",6610,"Electronics"
11116,"Regular","occasional",3776,"Clothing"
11117,"Regular","rare",14302,"Books"
11118,"Regular","rare",2557,"Electronics"
11119,"Regular","rare",4055,"Health"
11120,"Regular","rare",11357,"Electronics"
11121,"Silver","rare",6624,"Books"
11122,"Regular","rare",15849,"Health"
11123,"Regular","rare",10330,"Clothing"
11124,"Regular","frequent",13198,"Clothing"
11125,"Regular","occasional",13157,"Health"
11126,"Regular","rare",11088,"Electronics"
11127,"Regular","frequent",8058,"Clothing"
11128,"Regular","occasional",14062,"Clothing"
11129,"Regular","rare",20443,"Home"
11130,"Regular","rare",18502,"Food"
11131,"Gold","rare",3498,"Health"
11132,"Regular","occasional",6994,"Books"
11133,"Silver","rare",11035,"Electronics"
11134,"Regular","rare",15870,"Health"
11135,"Regular","rare",13085,"Clothing"
11136,"Silver","occasional",2458,"Beauty"
11137,"Regular","occasional",14506,"Electronics"
11138,"Regular","rare",10443,"Clothing"
11139,"Regular","rare",5225,"Food"
11140,"Regular","occasional",8715,"Food"
11141,"Silver","rare",4060,"Clothing"
11142,"Regular","frequent",16607,"Food"
11143,"Regular","frequent",5547,"Books"
11144,"Silver","rare",17057,"Clothing"
11145,"Regular","occasional",3761,"Home"
11146,"Regular","rare",3309,"Food"
11147,"Regular","occasional",9888,"Electronics"
11148,"Silver","rare",2981,"Electronics"
11149,"Silver","frequent",16501,"Health"
11150,"Silver","rare",8972,"Electronics"
11151,"Silver","rare",6315,"Electronics"
11152,"Silver","frequent",17865,"Books"
11153,"Silver","rare",5600,"Clothing"
11154,"Regular","occasional",5483,"Clothing"
11155,"Regular","rare",16156,"Beauty"
11156,"Regular","rare",5431,"Health"
11157,"Gold","frequent",15414,"Clothing"
11158,"Silver","frequent",21872,"Books"
11159,"Regular","rare",12756,"Books"
11160,"Regular","frequent",14615,"Clothing"
11161,"Regular","rare",7968,"Food"
11162,"Silver","rare",8275,"Clothing"
11163,"Regular","occasional",2260,"Clothing"
11164,"Regular","rare",13555,"Beauty"
11165,"Regular","rare",2871,"Food"
11166,"Silver","rare",2007,"Home"
11167,"Regular","rare",2833,"Health"
11168,"Regular","rare",6702,"Books"
11169,"Regular","frequent",17519,"Electronics"
11170,"Regular","rare",13282,"Food"
11171,"Silver","rare",4635,"Food"
11172,"Silver","occasional",3014,"Books"
11173,"Regular","rare",12713,"Electronics"
11174,"Regular","rare",3121,"Food"
11175,"Silver","rare",9290,"Electronics"
11176,"Regular","rare",10627,"Electronics"
11177,"Regular","rare",4538,"Electronics"
11178,"Regular","frequent",19865,"Food"
11179,"Regular","rare",4662,"Clothing"
11180,"Regular","rare",7819,"Books"
11181,"Silver","rare",15414,"Health"
11182,"Gold","rare",9009,"Electronics"
11183,"Regular","rare",2788,"Books"
11184,"Regular","rare",3567,"Health"
11185,"Regular","rare",7565,"Electronics"
11186,"Regular","rare",4505,"Clothing"
11187,"Regular","rare",8505,"Beauty"
11188,"Silver","rare",17036,"Food"
11189,"Regular","rare",4530,"Food"
11190,"Regular","rare",9111,"Beauty"
11191,"Regular","occasional",18788,"Clothing"
11192,"Regular","occasional",13346,"Beauty"
11193,"Regular","occasional",6607,"Electronics"
11194,"Gold","occasional",17992,"Clothing"
11195,"Silver","rare",6778,"Electronics"
11196,"Silver","occasional",5781,"Home"
11197,"Silver","frequent",17705,"Clothing"
11198,"Regular","occasional",16292,"Food"
11199,"Silver","occasional",4292,"Electronics"
11200,"Regular","rare",10778,"Books"
11201,"Regular","frequent",9277,"Food"
11202,"Silver","frequent",3609,"Electronics"
11203,"Silver","occasional",3135,"Electronics"
11204,"Regular","frequent",13041,"Home"
11205,"Regular","occasional",16377,"Health"
11206,"Silver","frequent",2138,"Food"
11207,"Regular","occasional",19670,"Food"
11208,"Gold","occasional",10173,"Books"
11209,"Silver","rare",7469,"Beauty"
11210,"Regular","rare",17934,"Food"
11211,"Silver","occasional",10322,"Electronics"
11212,"Silver","rare",14541,"Beauty"
11213,"Regular","occasional",10608,"Clothing"
11214,"Silver","rare",3417,"Books"
11215,"Silver","rare",8405,"Clothing"
11216,"Regular","rare",14898,"Health"
11217,"Silver","rare",5290,"Electronics"
11218,"Silver","occasional",8841,"Books"
11219,"Regular","occasional",11587,"Home"
11220,"Regular","occasional",6596,"Electronics"
11221,"Regular","occasional",2980,"Clothing"
11222,"Regular","occasional",5258,"Food"
11223,"Silver","rare",12193,"Books"
11224,"Regular","frequent",18040,"Health"
11225,"Regular","rare",8243,"Food"
11226,"Regular","occasional",8854,"Clothing"
11227,"Gold","rare",3958,"Food"
11228,"Regular","rare",3450,"Home"
11229,"Regular","frequent",5899,"Electronics"
11230,"Regular","rare",8500,"Electronics"
11231,"Regular","frequent",3317,"Beauty"
11232,"Regular","rare",7105,"Books"
11233,"Silver","rare",8252,"Clothing"
11234,"Silver","rare",16856,"Clothing"
11235,"Gold","occasional",15243,"Food"
11236,"Silver","rare",14783,"Electronics"
11237,"Silver","frequent",6123,"Books"
11238,"Silver","rare",4083,"Electronics"
11239,"Silver","frequent",6311,"Food"
11240,"Regular","rare",5699,"Health"
11241,"Regular","frequent",7728,"Electronics"
11242,"Regular","rare",7025,"Electronics"
11243,"Regular","rare",12030,"Books"
11244,"Regular","rare",4054,"Food"
11245,"Regular","rare",11602,"Books"
11246,"Regular","rare",4169,"Health"
11247,"Regular","frequent",13183,"Clothing"
11248,"Regular","frequent",11964,"Food"
11249,"Regular","rare",10699,"Food"
11250,"Regular","occasional",9904,"Food"
11251,"Gold","rare",17732,"Food"
11252,"Regular","occasional",3843,"Electronics"
11253,"Gold","frequent",19790,"Beauty"
11254,"Regular","occasional",15329,"Electronics"
11255,"Gold","occasional",5042,"Electronics"
11256,"Silver","frequent",3562,"Electronics"
11257,"Silver","frequent",6238,"Clothing"
11258,"Regular","rare",14321,"Health"
11259,"Regular","frequent",10272,"Beauty"
11260,"Silver","frequent",12887,"Clothing"
11261,"Regular","frequent",3195,"Clothing"
11262,"Regular","rare",14438,"Food"
11263,"Silver","rare",3034,"Food"
11264,"Regular","rare",8988,"Food"
11265,"Silver","frequent",13093,"Books"
11266,"Regular","frequent",7630,"Health"
11267,"Silver","rare",13663,"Electronics"
11268,"Regular","rare",12243,"Electronics"
11269,"Silver","occasional",8731,"Food"
11270,"Silver","rare",16295,"Beauty"
11271,"Silver","rare",5158,"Clothing"
11272,"Regular","rare",1785,"Electronics"
11273,"Gold","rare",4867,"Health"
11274,"Silver","occasional",3106,"Electronics"
11275,"Regular","rare",3338,"Clothing"
11276,"Silver","occasional",10331,"Books"
11277,"Silver","rare",14156,"Food"
11278,"Silver","occasional",12632,"Electronics"
11279,"Regular","rare",1922,"Clothing"
11280,"Regular","rare",9151,"Clothing"
11281,"Regular","occasional",11026,"Health"
11282,"Regular","rare",2414,"Clothing"
11283,"Silver","occasional",10037,"Beauty"
11284,"Regular","rare",2920,"Electronics"
11285,"Regular","frequent",11538,"Electronics"
11286,"Silver","rare",3146,"Home"
11287,"Regular","occasional",14116,"Electronics"
11288,"Regular","rare",8409,"Electronics"
11289,"Silver","frequent",13819,"Health"
11290,"Regular","rare",12576,"Books"
11291,"Regular","occasional",7982,"Electronics"
11292,"Silver","rare",2353,"Food"
11293,"Silver","occasional",15603,"Food"
11294,"Silver","frequent",4163,"Books"
11295,"Regular","rare",3109,"Electronics"
11296,"Silver","rare",8913,"Food"
11297,"Regular","occasional",10423,"Books"
11298,"Silver","rare",2594,"Clothing"
11299,"Regular","occasional",11742,"Beauty"
11300,"Regular","rare",6428,"Books"
11301,"Regular","rare",12925,"Electronics"
11302,"Regular","occasional",7638,"Electronics"
11303,"Silver","frequent",10011,"Books"
11304,"Regular","rare",9326,"Home"
11305,"Regular","frequent",4427,"Home"
11306,"Regular","rare",7771,"Beauty"
11307,"Regular","rare",16128,"Food"
11308,"Regular","rare",8761,"Clothing"
11309,"Silver","rare",8126,"Electronics"
11310,"Regular","rare",1459,"Electronics"
11311,"Regular","rare",2046,"Home"
